Current measurements:
dvdd vdd vprech
341.0 0.01596 9.5e-05 0.000475
342.0 0.01596 9.5e-05 0.000475
343.0 0.01596 9.5e-05 0.000475
344.0 0.01596 9.5e-05 0.000475
345.0 0.01596 9.5e-05 0.000475
346.0 0.01596 9.5e-05 0.000475
347.0 0.01596 9.5e-05 0.000475
348.0 0.01596 9.5e-05 0.000475
349.0 0.01596 9.5e-05 0.000475
350.0 0.01596 9.5e-05 0.000475
351.0 0.01596 9.5e-05 0.000475
352.0 0.01596 9.5e-05 0.000475
353.0 0.01596 9.5e-05 0.000475
354.0 0.01596 9.5e-05 0.000475
355.0 0.01596 9.5e-05 0.000475
356.0 0.01596 9.5e-05 0.000475
357.0 0.01596 9.5e-05 0.000475
358.0 0.01596 9.5e-05 0.000475
359.0 0.01596 9.5e-05 0.000475
360.0 0.01596 9.5e-05 0.000475
361.0 0.01596 9.5e-05 0.000475
362.0 0.01596 9.5e-05 0.000475
363.0 0.01596 9.5e-05 0.000475
364.0 0.01596 9.5e-05 0.000475
365.0 0.01596 9.5e-05 0.000475
366.0 0.01596 9.5e-05 0.000475
367.0 0.01596 9.5e-05 0.000475
368.0 0.01596 9.5e-05 0.000475
369.0 0.01596 9.5e-05 0.000475
370.0 0.01596 9.5e-05 0.000475
371.0 0.01596 9.5e-05 0.000475
372.0 0.01596 9.5e-05 0.000475
373.0 0.01596 9.5e-05 0.000475
374.0 0.01596 9.5e-05 0.000475
375.0 0.01596 9.5e-05 0.000475
376.0 0.01596 9.5e-05 0.000475
377.0 0.01596 9.5e-05 0.000475
378.0 0.01596 9.5e-05 0.000475
379.0 0.01596 9.5e-05 0.000475
380.0 0.01596 9.5e-05 0.000475
381.0 0.01596 9.5e-05 0.000475
382.0 0.01596 9.5e-05 0.000475
383.0 0.01596 9.5e-05 0.000475
384.0 0.01596 9.5e-05 0.000475
385.0 0.01596 9.5e-05 0.000475
386.0 0.01596 9.5e-05 0.000475
387.0 0.01596 9.5e-05 0.000475
388.0 0.01596 9.5e-05 0.000475
389.0 0.01596 9.5e-05 0.000475
390.0 0.01596 9.5e-05 0.000475
391.0 0.01596 9.5e-05 0.000475
392.0 0.01596 9.5e-05 0.000475
393.0 0.01596 9.5e-05 0.000475
394.0 0.01596 9.5e-05 0.000475
395.0 0.021375 9.5e-05 0.000475
396.0 0.021375 9.5e-05 0.000475
397.0 0.021375 9.5e-05 0.000475
398.0 0.021375 9.5e-05 0.000475
399.0 0.021375 9.5e-05 0.000475
400.0 0.021375 9.5e-05 0.000475
401.0 0.021375 9.5e-05 0.000475
402.0 0.021375 9.5e-05 0.000475
403.0 0.021375 9.5e-05 0.000475
404.0 0.021375 9.5e-05 0.000475
405.0 0.021375 9.5e-05 0.000475
406.0 0.021375 9.5e-05 0.000475
407.0 0.021375 9.5e-05 0.000475
408.0 0.021375 9.5e-05 0.000475
409.0 0.021375 9.5e-05 0.000475
410.0 0.021375 9.5e-05 0.000475
411.0 0.021375 9.5e-05 0.000475
412.0 0.021375 9.5e-05 0.000475
413.0 0.021375 9.5e-05 0.000475
414.0 0.021375 9.5e-05 0.000665
415.0 0.021375 9.5e-05 0.000665
416.0 0.021375 9.5e-05 0.000665
417.0 0.021375 9.5e-05 0.000665
418.0 0.021375 9.5e-05 0.000665
419.0 0.021375 9.5e-05 0.000665
420.0 0.021375 9.5e-05 0.000665
421.0 0.021375 9.5e-05 0.000665
422.0 0.021375 9.5e-05 0.000665
423.0 0.021375 9.5e-05 0.000665
424.0 0.021375 9.5e-05 0.000665
